Name,Age,Gender,Medical Condition,Date of Admission,Doctor,Billing Amount,Admission Type,Discharge Date,Medication,Test Results,MaHoSo,MaNV,MaBN,examination date,year of birth,Address,citizen identification,phone number,health insurance,Treatment department
Bobby JacksOn,30,Male,Cancer,31/01/2024,Matthew Smith,18856.28131,Urgent,02/02/2024,Paracetamol,Normal,HOSO1106,NV746,BN3919,20/04/2020,26/06/1985,"71613 Shawn Shoals
Keyfurt, AZ 20912",2.68E+11,84271502083,1352333889,N���
LesLie TErRy,62,Male,Obesity,20/08/2019,Samantha Davies,33643.32729,Emergency,26/08/2019,Ibuprofen,Inconclusive,HOSO7124,NV979,BN2016,22/06/1943,13/08/1953,"418 Ward Corner Suite 106
Greeneville, IL 84486",2.84E+11,84520333076,1549926905,Nhi khoa
DaNnY sMitH,76,Female,Obesity,22/09/2022,Tiffany Mitchell,27955.09608,Emergency,07/10/2022,Aspirin,Normal,HOSO6381,NV500,BN6382,02/11/2010,03/12/1971,"5460 Andrea Crossing Apt. 553
Barberburgh, ND 80744",4.49E+11,84845847382,4044627373,N���
andrEw waTtS,28,Female,Diabetes,18/11/2020,Kevin Wells,37909.78241,Elective,18/12/2020,Ibuprofen,Abnormal,HOSO6551,NV816,BN4484,02/06/2008,23/03/1979,"PSC 1729, Box 1842
APO AP 74292",9.40E+11,84846319761,3961408704,Ngo���
adrIENNE bEll,43,Female,Cancer,19/09/2022,Kathleen Hanna,14238.31781,Urgent,09/10/2022,Penicillin,Abnormal,HOSO5514,NV556,BN2137,04/11/1942,30/05/2014,"727 Downs Junction
New Tanyamouth, VA 34893",2.05E+11,84987282536,3189173865,Tim m��
EMILY JOHNSOn,36,Male,Asthma,20/12/2023,Taylor Newton,48145.11095,Urgent,24/12/2023,Ibuprofen,Normal,HOSO3363,NV867,BN3629,05/01/1940,15/06/1985,"6653 Dominique Circles Suite 745
Leslieberg, IL 79509",4.51E+11,84280906960,3030336956,Nhi khoa
edwArD EDWaRDs,21,Female,Diabetes,03/11/2020,Kelly Olson,19580.87234,Emergency,15/11/2020,Paracetamol,Inconclusive,HOSO8808,NV460,BN7472,28/06/1944,19/08/1957,"Unit 7819 Box 0338
DPO AE 56461",9.73E+11,84179398538,3616373439,Da li��
CHrisTInA MARtinez,20,Female,Cancer,28/12/2021,Suzanne Thomas,45820.46272,Emergency,07/01/2022,Paracetamol,Inconclusive,HOSO9339,NV946,BN5365,07/04/2005,22/03/1953,"16346 Michelle Spring Suite 940
Charlesland, TX 33307",6.72E+11,84707131611,2929660116,Da li��
JASmINe aGuIlaR,82,Male,Asthma,01/07/2020,Daniel Ferguson,50119.22279,Elective,14/07/2020,Aspirin,Abnormal,HOSO7299,NV132,BN2487,05/07/1968,02/01/1969,"6054 Dawn Valley Suite 087
Martinezfurt, MN 24505",2.66E+11,84262860322,1014159575,Ngo���
ChRISTopher BerG,58,Female,Cancer,23/05/2021,Heather Day,19784.63106,Elective,22/06/2021,Paracetamol,Inconclusive,HOSO7197,NV527,BN8682,17/02/2024,17/01/2023,"2149 Brown Highway Apt. 763
Port Angela, CA 50414",6.70E+11,84149116841,9503028685,Nhi khoa
